time,open,high,low,close,volume,I,y,b,f,c,x
1638620040000,5.0881,5.1081,5.0881,5.0924,14031,1638620099999,71534.8881,104,9834,50140.8666,0
1638620100000,5.1031,5.1285,5.0981,5.1135,18126,1638620159999,92737.2931,215,10789,55193.6011,0
1638620160000,5.1141,5.1585,5.1141,5.1585,10100,1638620219999,51915.2758,225,3778,19425.7086,0
1638620220000,5.159,5.1783,5.14,5.1504,19892,1638620279999,102625.7716,269,10562,54519.4062,0
1638620280000,5.155,5.155,5.131,5.1517,10028,1638620339999,51541.3817,119,2905,14950.4546,0
1638620340000,5.1547,5.1663,5.1408,5.1663,9519,1638620399999,49079.5577,88,6084,31379.9825,0
1638620400000,5.1663,5.2374,5.1614,5.2374,51552,1638620459999,267550.6567,547,39200,203465.2853,0
1638620460000,5.2346,5.2772,5.2137,5.2613,29194,1638620519999,153226.9993,479,16367,86005.1442,0
1638620520000,5.2543,5.2778,5.2271,5.2367,34123,1638620579999,179031.0727,318,17569,92246.0846,0
1638620580000,5.2361,5.2654,5.23,5.2511,13348,1638620639999,70070.2716,124,6835,35898.7364,0
1638620640000,5.2609,5.2947,5.2433,5.2563,21591,1638620699999,113649.4588,400,9683,51018.1962,0
1638620700000,5.2582,5.2729,5.2357,5.2373,21597,1638620759999,113455.9833,200,12648,66489.0883,0
1638620760000,5.2356,5.265,5.2305,5.265,11011,1638620819999,57750.2988,157,7824,41037.8937,0
1638620820000,5.265,5.27,5.2322,5.2463,8947,1638620879999,47019.5444,119,7036,36979.5235,0
1638620880000,5.2502,5.2547,5.2121,5.2121,10223,1638620939999,53403.1422,186,1225,6405.9419,0
1638620940000,5.2121,5.2279,5.1849,5.195,31150,1638620999999,162203.126,317,8828,45997.8752,0
1638621000000,5.1983,5.2278,5.1954,5.2182,39131,1638621059999,204114.8337,124,18395,95926.665,0
1638621060000,5.2142,5.2304,5.2103,5.2183,4986,1638621119999,26034.6011,71,3642,19018.8894,0
1638621120000,5.2108,5.2221,5.1934,5.2221,7726,1638621179999,40233.2283,107,4854,25298.4584,0
1638621180000,5.2284,5.2286,5.1925,5.2077,10176,1638621239999,52973.1663,88,4770,24824.2555,0
1638621240000,5.2008,5.2236,5.1961,5.219,7431,1638621299999,38745.0372,74,4621,24091.1268,0
1638621300000,5.2171,5.2196,5.195,5.2048,4857,1638621359999,25282.3205,79,3618,18838.3185,0
1638621360000,5.2043,5.2198,5.2043,5.2166,5099,1638621419999,26572.4807,49,4810,25066.0217,0
1638621420000,5.2158,5.2382,5.2062,5.2215,73087,1638621479999,382101.6438,223,18812,98332.7562,0
1638621480000,5.2215,5.238,5.2215,5.2262,7789,1638621539999,40731.8499,98,5636,29474.4785,0
1638621540000,5.2342,5.2384,5.2171,5.2317,5814,1638621599999,30414.8276,73,2889,15119.6928,0
1638621600000,5.2333,5.2402,5.2155,5.2155,18896,1638621659999,98975.1793,78,5152,26983.9775,0
1638621660000,5.215,5.215,5.1878,5.1934,13065,1638621719999,67961.6973,145,3960,20593.3591,0
1638621720000,5.1948,5.2075,5.1873,5.1966,5746,1638621779999,29847.6947,35,2583,13431.4758,0
1638621780000,5.191,5.1949,5.1728,5.1816,13303,1638621839999,68964.9526,161,4294,22251.3401,0
1638621840000,5.18,5.188,5.1698,5.1865,3462,1638621899999,17929.2426,56,2167,11227.5895,0
1638621900000,5.1854,5.1854,5.1624,5.1784,13207,1638621959999,68361.9723,107,11319,58599.8181,0
1638621960000,5.1757,5.1877,5.1725,5.1809,5199,1638622019999,26932.985,71,2177,11283.8231,0
1638622020000,5.1784,5.1938,5.1764,5.1774,10210,1638622079999,52919.9691,76,6283,32567.3711,0
1638622080000,5.1835,5.1982,5.1772,5.1859,7847,1638622139999,40701.105,65,5048,26182.1903,0
1638622140000,5.1832,5.1866,5.1445,5.1483,11517,1638622199999,59452.4956,211,2753,14237.1397,0
1638622200000,5.1507,5.1766,5.1506,5.1748,6001,1638622259999,31001.6449,64,4106,21215.022,0
1638622260000,5.1745,5.2051,5.1745,5.1915,29987,1638622319999,155538.6228,203,26804,138998.6234,0
1638622320000,5.1915,5.1929,5.1646,5.1734,10036,1638622379999,51979.3701,135,5341,27670.1896,0
1638622380000,5.1699,5.1745,5.1503,5.1503,5998,1638622439999,30968.2851,114,476,2460.9079,0
1638622440000,5.1503,5.1681,5.1261,5.1448,21901,1638622499999,112690.7048,264,9839,50663.9583,0
1638622500000,5.1505,5.1544,5.1326,5.1402,12248,1638622559999,62969.5131,56,4425,22749.9288,0
1638622560000,5.14,5.1586,5.132,5.133,5075,1638622619999,26095.2908,47,2922,15020.3568,0
1638622620000,5.132,5.1395,5.112,5.1179,22856,1638622679999,117061.8182,201,11646,59675.8184,0
1638622680000,5.1144,5.1299,5.1118,5.1272,22674,1638622739999,116051.079,139,16875,86394.5505,0
1638622740000,5.1273,5.1768,5.1273,5.141,15370,1638622799999,79097.0998,200,11937,61447.9495,0
1638622800000,5.1449,5.1533,5.1248,5.1374,17088,1638622859999,87782.1072,169,7328,37634.6696,0
